Project A,Project B,StarBased,AdjustedStarBased,StarTimeBased,ContributorBased,LanguageBased,BranchBased,ComplexityBased,SimilarityRating
gulpjs/gulp,driftyco/ionic,8.795256309068463,18.071437481807976,5.959502991256327,0.5780346820809248,40.0,21.052631578947366,8.26020947067345,A
gulpjs/gulp,atom/atom,8.16481895608317,21.40629548006154,4.312354312354312,1.2616503750852466,33.33333333333333,4.705882352941177,7.371266449888527,C
gulpjs/gulp,chartjs/Chart.js,5.7980248486779224,13.82016072897551,5.448717948717949,0.499001996007984,0.0,66.66666666666666,32.27931488801054,C
golang/go,facebook/react,7.960525083799928,22.77768847452178,6.045636320865679,0.5214972766253332,33.33333333333333,58.69565217391305,41.94341904428852,D
golang/go,Microsoft/vscode,8.523836557234045,16.492525317473074,3.6062378167641325,0.8778271196943096,27.77777777777778,32.926829268292686,52.86988208085525,D
golang/go,facebook/immutable-js,5.9716707801266224,15.227801340812697,1.257861635220126,0.1820830298616169,23.52941176470588,11.11111111111111,5.711510388857928,D
golang/go,callemall/material-ui,6.096669311305051,12.693528535337176,1.862720081653483,0.32720865844450037,6.25,7.4074074074074066,31.591041940027313,D
golang/go,tensorflow/tensorflow,8.522926618627372,25.381771419385952,4.116529449018366,0.604370060437006,38.095238095238095,59.25925925925925,72.94552029432593,D
golang/go,facebook/react-native,8.123482327547443,19.35915983496758,2.726266260725159,0.3168514967064121,47.82608695652174,52.94117647058824,50.91002212118064,D
golang/go,vuejs/vue,6.714887185577028,18.330386325885442,3.610055539315989,0.29318036966220523,18.75,70.37037037037037,22.29893910705362,D
golang/go,electron/electron,6.0278916625773675,12.841004889563312,3.230042016806723,0.4546044940901416,0.0,69.23076923076923,22.815245392694365,D
golang/go,docker/docker,14.220443036184117,26.932968976048866,9.17139162439073,3.153645614330166,27.77777777777778,29.629629629629626,34.70441343452734,D
golang/go,apple/swift,8.452746843358746,17.020307560413652,11.978592790807491,0.07753440589261484,24.0,42.857142857142854,89.46176060531923,A
golang/go,nylas/nylas-mail,0.9715284715284714,12.536255236867547,6.169665809768637,0.05671077504725897,0.0,11.11111111111111,2.1137459541581345,D
golang/go,nodejs/node,9.451302620818568,19.50651020736216,5.342672709792611,0.8742936347158546,34.78260869565217,21.09375,50.77089747111218,D
golang/go,Semantic-Org/Semantic-UI,6.082422662442973,12.285696791574823,2.018440069773237,0.29518314772574805,18.75,66.66666666666666,27.10054610698383,D
golang/go,neovim/neovim,6.768390317415466,18.566556428276147,3.20066796548845,1.076591817902184,41.66666666666667,3.7037037037037033,56.42212674458875,D
golang/go,Dogfalo/materialize,4.9276996449740205,10.254621555633065,1.5769944341372915,0.14637391882900866,18.75,74.07407407407408,20.612561080474876,D
golang/go,driftyco/ionic,5.354476732307596,11.467519353752945,2.083944819489287,0.21788752853289067,23.52941176470588,70.37037037037037,49.6160867522582,D
golang/go,atom/atom,8.570971696604659,17.231956277125864,5.099502487562189,0.8730800323362976,29.411764705882355,31.76470588235294,52.041527775563964,D
golang/go,chartjs/Chart.js,3.8588603264588017,12.491299120420173,5.775075987841945,0.12154360376785171,0.0,22.22222222222222,10.027082370037652,D
facebook/react,Microsoft/vscode,9.895578473100608,26.10898638279214,4.926292218697518,1.384045335658239,25.0,56.09756097560976,18.895755113038472,C
facebook/react,facebook/immutable-js,11.10184382019973,45.528344050713734,7.282380046078334,4.431247144814984,30.0,6.521739130434782,21.237736346897957,A
facebook/react,callemall/material-ui,12.692562531058474,39.7097881712768,5.791190864600326,3.5283740076448105,12.5,4.3478260869565215,70.71585977909535,C
facebook/react,tensorflow/tensorflow,8.841769973613706,16.802174972428123,6.762326362387422,0.25342118601115055,40.0,34.78260869565217,44.188428717060106,B
facebook/react,facebook/react-native,20.011577525567038,38.76843607693876,24.627454417952315,3.728275088768455,30.0,90.19607843137256,55.270122323059184,B
facebook/react,vuejs/vue,16.31240462175714,29.33943900628772,19.67447854517684,0.8576828027329554,22.22222222222222,41.30434782608695,63.82629009816348,A
facebook/react,electron/electron,8.584197570719503,28.693306356432302,6.40498295921965,1.4916467780429594,0.0,84.78260869565217,29.172297297297295,C
facebook/react,docker/docker,8.551884472660616,22.026208516616382,5.562526139690506,0.7554884010310194,25.0,17.391304347826086,41.60217700570297,D
facebook/react,apple/swift,7.549146484254638,19.406599375367765,5.3061224489795915,0.04727014890096904,27.77777777777778,73.01587301587301,48.184026017551986,D
facebook/react,nylas/nylas-mail,0.8783825816485226,22.752175314212053,4.53257790368272,0.18369690011481057,0.0,6.521739130434782,2.7027027027027026,C
facebook/react,nodejs/node,15.988973761636489,36.65943139257746,12.909966912404947,2.425261135790611,35.294117647058826,35.9375,49.39659642461659,A
facebook/react,Semantic-Org/Semantic-UI,9.08642754323349,28.214548126377665,3.786892361111111,0.9563473700447325,10.0,39.130434782608695,41.86581595278597,C
